symbol,region,proxy_spread
"symbol,proxy",US_IG,0.76
"SAP.DE,EU_IG",US_IG,0.76
"DTE.DE,EU_IG",US_IG,0.76
"ALV.DE,EU_IG",US_IG,0.76
"SIE.DE,EU_IG",US_IG,0.76
"BAS.DE,EU_IG",US_IG,0.76
"BAYN.DE,EU_IG",US_IG,0.76
"BMW.DE,EU_IG",US_IG,0.76
"VOW3.DE,EU_IG",US_IG,0.76
"ADS.DE,EU_IG",US_IG,0.76
"IFX.DE,EU_IG",US_IG,0.76
"AAPL,US_IG",US_IG,0.76
"MSFT,US_IG",US_IG,0.76
"AMZN,US_IG",US_IG,0.76
"SPY,US_IG",US_IG,0.76
"GLD,US_IG",US_IG,0.76
"AVGO,US_IG",US_IG,0.76
"META,US_IG",US_IG,0.76
"NVDA,US_IG",US_IG,0.76
"GOOGL,US_IG",US_IG,0.76
