symbol,name,category,asset_class,expense_ratio,aum,nav,beta,currency
EUNL.DE      # iShares Core MSCI World UCITS,iShares Core MSCI World UCITS ETF USD (Acc),,ETF,,,,,EUR
EWG      # iShares MSCI Germany (US),iShares MSCI Germany ETF,Miscellaneous Region,ETF,,2051344384.0,41.81903,,USD
EWI      # iShares MSCI Italy (US),iShares MSCI Italy ETF,Miscellaneous Region,ETF,,725942912.0,51.14662,,USD
EWL      # iShares MSCI Switzerland (US),iShares MSCI Switzerland ETF,Miscellaneous Region,ETF,,1317888896.0,57.6332,,USD
EWP      # iShares MSCI Spain (US),iShares MSCI Spain ETF,Miscellaneous Region,ETF,,1412057984.0,49.80568,,USD
EWQ      # iShares MSCI France (US),iShares MSCI France ETF,Miscellaneous Region,ETF,,397099328.0,45.12541,,USD
EWU      # iShares MSCI United Kingdom (US),iShares MSCI United Kingdom ETF,Miscellaneous Region,ETF,,2805215488.0,42.10088,,USD
EXS1.DE      # iShares Core DAX UCITS,iShares Core DAX UCITS ETF (DE) EUR (Acc),,ETF,,8552007168.0,200.9411,,EUR
EXS1.DE  # iShares Core MSCI World UCITS (Xetra),iShares Core DAX UCITS ETF (DE) EUR (Acc),,ETF,,8552007168.0,200.9411,,EUR
EZU      # iShares MSCI EMU (US),iShares MSCI Eurozone ETF,Europe Stock,ETF,,7955585024.0,62.70539,,USD
FEZ      # SPDR Euro STOXX 50 (US),SPDR EURO STOXX 50 ETF,Europe Stock,ETF,,4642475008.0,63.18372,,USD
GLD,SPDR Gold Shares,Commodities Focused,ETF,,124532858880.0,395.18112,,USD
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,High Yield Bond,ETF,,18542909440.0,80.6633,,USD
IEMA.L   # iShares Core MSCI EM IMI UCITS (LSE),iShares MSCI EM UCITS ETF USD (Acc),,ETF,,5600854528.0,51.3125,,USD
IEUR     # iShares Core MSCI Europe (US),iShares Core MSCI Europe ETF,Europe Stock,ETF,,6693217280.0,69.08957,,USD
IMEU.L       # iShares Core MSCI Europe UCITS,iShares Core MSCI Europe UCITS ETF EUR (Dist),,ETF,,,35.5735,,GBp
IWM,iShares Russell 2000 ETF,Small Blend,ETF,,70946291712.0,248.2024,,USD
QQQ,Invesco QQQ Trust,Large Growth,ETF,,385755185152.0,611.7,,USD
SPY,SPDR S&P 500 ETF,Large Blend,ETF,,672726646784.0,671.2819,,USD
SXR8.DE      # iShares Core S&P 500 UCITS,iShares Core S&P 500 UCITS ETF USD (Acc),,ETF,,,,,EUR
SXR8.DE  # iShares Core S&P 500 UCITS (Xetra) – Test für UCITS-Auflösung,iShares Core S&P 500 UCITS ETF USD (Acc),,ETF,,,,,EUR
VEVE.L   # Vanguard FTSE Dev World UCITS (LSE),Vanguard FTSE Developed World UCITS ETF USD Distributing,,ETF,,9145412608.0,125.6522,,GBP
VGK      # Vanguard FTSE Europe ETF (US),Vanguard FTSE Europe ETF,Europe Stock,ETF,,35091558400.0,80.96,,USD
VUKE.L       # Vanguard FTSE 100 UCITS,Vanguard FTSE 100 UCITS ETF,,ETF,,5797064704.0,40.7661,,GBP
VUSA.L       # Vanguard S&P 500 UCITS (GBP),Vanguard S&P 500 UCITS ETF,,ETF,,77328367616.0,127.6401,,GBP
VUSA.L   # Vanguard S&P 500 UCITS (LSE),Vanguard S&P 500 UCITS ETF,,ETF,,77328367616.0,127.6401,,GBP
XLE,The Energy Select Sector SPDR Fund,Equity Energy,ETF,,26926057472.0,86.86665,,USD
XLF,The Financial Select Sector SPDR Fund,Financial,ETF,,54020546560.0,52.78663,,USD
XLK,The Technology Select Sector SPDR Fund,Technology,ETF,,90249887744.0,288.2354,,USD
